contributor,numberOfPackagesAffected
Joost van Baal-Ilić,1
Debian Lua Team,1
Rémi Vanicat,1
Ma Aiguo,1
Keith Winstein,1
Jose Luis Rivas,1
Debian kernel team,1
Thomas Koch,1
Joerg Jaspert,1
Debian HA Maintainers,1
Xavier Roche,1
libloc maintainers,1
Eva Ramon Salinas,1
Ivo De Decker,1
Stig Sandbeck Mathisen,1
Sergey B Kirpichev,1
Thijs Kinkhorst,1
Carlos Henrique Lima Melara,1
Richard Levenberg,1
Micha Lenk,1
GNU/kFreeBSD Maintainers,1
Jeremy T. Bouse,1
Abhijith PA,1
Ian Jackson,1
Pierre-Elliott Bécue,1
RPM packaging team,1
Anibal Monsalve Salazar,1
Shih-Yuan Lee (FourDollars),1
Jérôme Charaoui,1
Yangfl,1
Francesco Paolo Lovergine,1
Frederic Peters,1
Rhonda D'Vine,1
Roberto Lumbreras,1
Kyle Robbertze,1
Debian HAProxy Maintainers,1
Andriy Grytsenko,1
Andrew Ayer,1
Romain Perier,1
Abdelhakim Qbaich,1
Debian Gambas Team,1
Debian GIS Project,1
Chris Taylor,1
TANIGUCHI Takaki,1
Fab Stz,1
Denys Berkovskyy,1
Thomas Dreibholz,1
Debian Cloud Team,1
Kees Cook,1
Frank Terbeck,1
Gianfranco Costamagna,1
dnsdist packagers,1
dnssec-trigger packagers,1
Arno Töll,1
Debian TeX Task Force,1
Calibre maintainer team,1
Thomas Calderon,1
Gergely Pilisi,1
Antti Järvinen,1
Joao Eriberto Mota Filho,1
Tom Lee,1
Calogero Lo Leggio,1
Debian BOINC Maintainers,1
Debian CommunityWLAN Team,1
Debian Cryptsetup Team,1
Jonathan Carter,1
Debian Bacula Team,1
Jose M Calhariz,1
Paulo Henrique de Lima Santana (phls),1
Bartosz Fenski,1
Richard Ulrich,1
Kari Pahula,1
Frank B. Brokken,1
Alessandro Ghedini,1
Debian Cairo-dock Maintainers,1
Debian Erlang Packagers,1
Ejabberd Packaging Team,1
Sébastien Villemot,1
Cédric Barboiron,1
Debian Common Lisp Team,1
Debian GCC Maintainers,1
Asheesh Laroia,1
Debian Borg Collective,1
John Paul Adrian Glaubitz,1
Pierre-Louis Bonicoli,1
Antoine Beaupré,1
Dovecot Maintainers,1
Alexander GQ Gerasiov,1
